t_index            tf-idf
29             0.03339650873861383
44             0.07600779645108831
103            0.02994443192825281
110            0.03804110512914387
132            0.030520828653563196
154            0.08539528199316672
193            0.11537356284832398
210            0.04512053990710277
230            0.07865589407766578
236            0.09933852380778053
247            0.04207476005064827
335            0.030172055418074367
338            0.045166130621606605
425            0.1743206656634641
456            0.03863506349864808
498            0.08539528199316672
501            0.0666203109090099
578            0.05641176920922482
587            0.023649763965931374
594            0.07335931473022478
636            0.05490540941899637
646            0.09326339474489183
682            0.039791055637714935
717            0.05563765687265412
740            0.050146329854476236
744            0.02546835024266265
769            0.043000115743016286
887            0.04772834782754911
919            0.06842876379294671
952            0.02789379349608734
1095           0.04293040953198556
1102           0.08539528199316672
1106           0.039791055637714935
1189           0.08539528199316672
1249           0.06359821557266593
1362           0.03369093943956449
1463           0.05490540941899637
1464           0.09764933433289795
1523           0.014657993339559465
1535           0.06235370962798787
1588           0.07990395497498883
1686           0.05231789507406397
1704           0.04126997209770608
1723           0.05641176920922482
1791           0.05641176920922482
1812           0.02323086627912594
1836           0.044488825550959656
1928           0.07298570111474434
1956           0.3593224949516425
1978           0.05291991768940017
2098           0.03543575894643069
2106           0.05421073003058752
2241           0.031752884812189616
2459           0.07990395497498883
2478           0.06324902307955896
2539           0.030520828653563196
2627           0.05174149834875359
2698           0.027569578878096364
2704           0.08539528199316672
2754           0.023864173913774555
2779           0.05421073003058752
3117           0.04051033681097779
3189           0.09478276753524512
3280           0.051188634694243555
3339           0.06151687226237041
3348           0.05174149834875359
3385           0.09478276753524512
3417           0.04263914499793137
3543           0.06359821557266593
3588           0.01691713517800137
3592           0.034614702788724035
3656           0.07298570111474434
3697           0.08539528199316672
3762           0.024378072702435295
3767           0.05723282536693148
3788           0.036130438334839546
3807           0.05490540941899637
3816           0.030172055418074367
3879           0.03888783575679171
3884           0.023094064319611585
3911           0.07298570111474434
3968           0.09485718134244456
4018           0.07990395497498883
4045           0.04452527526802262
4078           0.11437483127224697
4167           0.17717879473215345
4175           0.03493717704329609
4195           0.03493717704329609
4294           0.06350576962437923
4300           0.07600779645108831
4317           0.021133343111484782
4352           0.0535499512326904
4378           0.025387494606455167
4407           0.05921922155164947
4428           0.09050341986853828
4429           0.14597140222948868
4443           0.028449957420786237
4499           0.03282618115023583
4567           0.03543575894643069
4621           0.0050712051142275975
4652           0.029610012990703354
4688           0.07600779645108831
4709           0.03429972861953704
4714           0.05291991768940017
4858           0.0875418533688482
4880           0.03955954096015278
4938           0.049982363586821614
4962           0.039791055637714935
5002           0.05356381813052492
5032           0.03595339948918015
5205           0.05065745763978449
5275           0.05810688855448804
5386           0.021797066420500784
5470           0.025963891331765552
5529           0.05723282536693148
5560           0.11621377710897608
5606           0.032013340509212986
5619           0.02834926343397545
5646           0.05490540941899637
5758           0.05291991768940017
5839           0.0403351701312283
5842           0.026391159537449787
5968           0.04101199708185789
6005           0.020856612536448795
6034           0.07298570111474434
6060           0.03955954096015278
6065           0.023369064201105825
6076           0.06017509344911937
6111           0.033108342998495584
6147           0.056899914841572474
6153           0.04293040953198556
6159           0.015524757535380228
6168           0.06359821557266593
6171           0.06842876379294671
6249           0.038247876761362126
6278           0.08596085876119637
6433           0.02236539927011121
6449           0.0156420160933069
6589           0.07600779645108831
6661           0.039791055637714935
6825           0.030639111316661662
6866           0.04051033681097779
6920           0.062245702537798764
6952           0.09478276753524512
6979           0.08386143342043506
7007           0.06230740323147858
7174           0.016162205959139267
7259           0.05441950632470171
7368           0.0600449431818629
7422           0.027381474759292562
7480           0.04474790506622298
7504           0.019682883198617832
7533           0.028150093979244468
7534           0.024037816207432443
7539           0.031049515070760456
7657           0.024834630951945134
7671           0.15201559290217662
7752           0.09478276753524512
7814           0.03369093943956449
7976           0.0535499512326904
8033           0.07777567151358342
8091           0.07600779645108831
8097           0.08817470482122831
8101           0.07600779645108831
8116           0.050146329854476236
8146           0.18956553507049023
8202           0.08539528199316672
8321           0.055659755325434664
8323           0.021673944855842602
8373           0.0386711386724341
8630           0.05856730626071138
8704           0.025387494606455167
8771           0.05723282536693148
8807           0.03955954096015278
8894           0.050146329854476236
8910           0.06359821557266593
8938           0.013604876581175427
9038           0.041532956648968514
9084           0.05641176920922482
9165           0.04263914499793137
9207           0.04742859067122228
9269           0.019735890228467737
9334           0.05509892173707339
9365           0.0666203109090099
9429           0.09488342982566869
9441           0.01661259870990632
9533           0.05641176920922482
9563           0.034614702788724035
9574           0.023720857456417173
9622           0.033108342998495584
9623           0.05291991768940017
9624           0.040266307166711465
9654           0.02282453743749492
9659           0.045166130621606605
9771           0.08539528199316672
9817           0.023792326112177808
9845           0.02630462072007978
9861           0.057102811353395885
9872           0.05490540941899637
9916           0.09033226124321321
9974           0.050146329854476236
9977           0.09743880602481926
10101          0.03087882162463305
10137          0.0295003502147133
10163          0.02865361958706546
10164          0.05490540941899637
10168          0.031000286823015342
10188          0.036491613841193225
10224          0.04742859067122228
10242          0.09478276753524512
10272          0.0372442118303675
10314          0.016888057602624584
10388          0.02931598667911893
10414          0.03804110512914387
10416          0.024757461063164933
10479          0.05174149834875359
10745          0.01572075630834985
10814          0.07372537157699459
10841          0.02522721724664562
10885          0.07051646943291041
10905          0.03268727450856986
10947          0.007572849924029213
10984          0.03208075308472773
11032          0.04323017141509216
11063          0.016831145817143515
11076          0.018615130259306393
11099          0.021983873228240997
11126          0.09478276753524512
11153          0.051188634694243555
11174          0.07051646943291041
11296          0.04860690779497214
11438          0.09478276753524512
11493          0.028953376743392285
11601          0.04871940301240963
11834          0.07298570111474434
11889          0.03314144258019146
11904          0.03254977811096598
11913          0.03743908251380768
11925          0.018134821808661227
11935          0.05904127825086829
11953          0.06671107799310319
12002          0.014333371914338764
12017          0.02011286467263489
12060          0.07616248381936551
12094          0.027569578878096364
12105          0.043843785602989516
12120          0.04551792387691796
12171          0.03354292398990716
12200          0.01080754285377304
12261          0.0173065706822522
12271          0.0256315242507215
12282          0.06738187887912898
