t_index   term                   df
509     apprehend               4
510     apprehens               2
511     apprentic               3
512     appris                  1
513     approach               49
514     appropri               18
515     approv                 25
516     approxim               12
517     april                  67
518     aprista                 4
519     apron                   1
520     aquil                   2
521     ar                      3
522     arab                   61
523     arabi                   1
524     arabia                 71
525     arabian                44
526     arafat                 16
527     arantxa                 3
528     arazi                   7
529     arbadi                  1
530     arbit                   1
531     arbitrari               2
532     arbitrarili             1
533     arc                     1
534     arch                    2
535     archaeolog              2
536     archbishop              4
537     archer                  1
538     archeri                 4
539     archetyp                1
540     archi                   5
541     archibald               1
542     architect               7
543     architectur             4
544     arctic                  6
545     ardent                  4
546     arduou                  1
547     area                  186
548     arena                  22
549     aretz                   1
550     argentin                1
551     argentina              10
552     argu                   45
553     arguabl                 2
554     argument               18
555     ari                     1
556     arid                    5
557     arif                    1
558     arisen                  1
559     arithmet                1
560     aritomi                 4
561     ariz                    8
562     arizona                 7
563     ark                     8
564     arkadelphia             1
565     arkan                   1
566     arkansa                28
567     arkin                   2
568     arleigh                 3
569     arlen                   2
570     arlington               8
571     arm                   133
572     armament                2
573     armbrist                1
574     armenia                 2
575     armey                   1
576     armi                  136
577     armitag                 1
578     armor                  17
579     armori                  3
580     arn                     3
581     arnaud                 17
582     arni                    1
583     arno                    1
584     arnold                  3
585     arnot                   1
586     aros                    5
587     around                191
588     arous                   1
589     arraign                 2
590     arrang                 38
591     array                   6
592     arrear                  1
593     arrest                109
594     arriv                 180
595     arrog                   3
596     arrow                   4
597     arsen                  10
598     arseni                  1
599     arsonist                1
600     art                    11
601     arthriti                1
602     arthur                  4
603     articl                  5
604     articul                 1
605     artifact                1
606     artifici                4
607     artist                  4
608     artudo                  1
609     arturo                  6
610     aruba                   2
611     aryapov                 1
612     asa                     1
613     asahi                   1
614     ascend                  1
615     ascrib                  4
616     asean                   1
617     ash                     5
618     asham                   1
619     ashcroft               56
620     ashkroft                1
621     ashok                   1
622     ashor                   2
623     ashraf                  1
624     ashtray                 1
625     asia                   32
626     asian                  15
627     asid                   30
628     ask                   196
629     aspect                 11
630     aspir                   2
631     assad                   1
632     assail                  4
633     assam                   6
634     assassin               21
635     assault                28
636     assembl                19
637     assert                 17
638     assess                 48
639     asset                  10
640     assign                 24
641     assist                 76
642     associ                119
643     assort                  1
644     assum                  38
645     assumpt                 7
646     assur                  35
647     assuredli               2
648     astakhov               12
649     asterisk                2
650     astonish                7
651     astound                 2
652     astronom                1
653     astut                   1
654     asylum                 29
655     asymmetr                2
656     atal                   13
657     atck                    2
658     ate                     4
659     atf                     2
660     atfein                  1
661     ath                     1
662     athal                   1
663     athlet                  3
664     atlant                 15
665     atlanta                 6
666     atmat                   1
667     atmospher              10
668     atom                    4
669     atop                   13
670     atp                     3
671     atroc                  10
672     atrophi                 1
673     attach                 15
674     attack                306
675     attain                  1
676     attar                   1
677     attempt               112
678     attend                 68
679     attent                 64
680     attest                  2
681     attitud                10
682     attorney               58
683     attract                15
684     attribut               12
685     attrit                  1
686     atwan                   1
687     aubrey                 19
688     aubri                   5
689     audienc                16
690     audio                   4
691     audiotap                1
692     auditor                 5
693     auditorium              1
694     aug                    33
695     augment                 1
696     august                 32
697     aunt                    2
698     aur                     5
699     aura                    1
700     aurora                  4
701     ausi                    1
702     aussi                   9
703     auster                  2
704     austin                 18
705     australia              23
706     australian             72
707     austria                 3
708     austrian                1
709     austro                  1
710     authent                 2
711     author                255
712     authoritarian          27
713     auto                    1
714     autocrat               27
715     autograph               1
716     autom                   1
717     automat                18
718     automobil               4
719     autonom                 1
720     autonomi                3
721     autopilot               1
722     autopsi                 1
723     autumn                  2
724     avail                  44
725     avala                   1
726     avalanch                1
727     ave                     1
728     aveng                   7
729     avent                   1
730     avenu                   4
731     averag                 14
732     avert                   6
733     aviat                   3
734     aviv                    4
735     avner                   2
736     avoid                  59
737     avow                    1
738     aw                     10
739     awad                    2
740     await                  27
741     awaken                  2
742     awar                   18
743     award                   9
744     away                  167
745     awe                     4
746     aweigh                  1
747     awkward                 4
748     awn                     4
749     awok                    1
750     axam                    1
751     axe                     1
752     ay                      2
753     ayatollah               1
754     aykroyd                 1
755     ayman                   5
756     aynaoui                 1
757     ayr                     1
758     ayyam                   2
759     az                      1
760     aziz                    1
761     azul                    1
762     azulay                  2
763     ba                      2
764     babenko                 2
765     babi                   14
766     babkin                  6
767     baboa                   1
768     back                  380
769     backa                   1
770     backbo                  1
771     backcourt               1
772     backdrop                4
773     backer                 14
774     backfir                 5
775     background              4
776     backhand               14
777     backho                  1
778     backlash                3
779     backstop                2
780     backup                  2
781     backward                3
782     backyard                1
783     bacon                  18
784     bad                    39
785     badawi                  1
786     badg                    3
787     badli                  39
788     badrasen                5
789     baffl                   2
790     bag                    14
791     bagad                   1
792     baggag                  1
793     baghbel                 1
794     baghdad                 2
795     bahg                    5
796     bahrain                35
797     bai                     1
798     baijubahi               2
799     bail                    4
800     bailey                  6
801     baird                   1
802     bairnt                  1
803     bait                    1
804     bakarec                 3
805     bake                    2
806     baken                   1
807     baker                   5
808     bakhshish               1
809     bakri                   5
810     balanc                 21
811     balawat                 1
812     balcacer                2
813     balconi                11
814     bald                    1
815     balint                  1
816     balk                    4
817     balkan                 25
818     ball                   30
819     ballard                 1
820     ballast                 2
821     ballena                 1
822     ballist                 2
823     ballo                   1
824     balloon                 3
825     ballot                 72
826     ballroom                2
827     balonia                 1
828     balsamo                 1
829     baltimor                3
830     baltin                  1
831     bamba                   3
832     bambi                   1
833     bamboo                  4
834     bament                  1
835     ban                    24
836     banco                   1
837     band                   11
838     bandag                  8
839     bandanna                3
840     bandit                  1
841     bang                    7
842     bangalor                1
843     bangaru                 3
844     bangladesh              5
845     bank                   69
846     banker                 10
847     bankrupt                5
848     bankruptci              4
849     banner                  9
850     bannon                  1
851     banquet                 1
852     baptist                 6
853     bar                    54
854     barak                   9
855     barb                    4
856     barbar                  2
857     barbara                24
858     barber                  1
859     barbershop              1
860     barcelona               1
861     bare                   46
862     barefacedli             1
863     barent                 36
864     barg                    3
865     bargain                 9
866     bari                    1
867     bark                    1
868     barkina                 2
869     barkolla                1
870     barkova                 3
871     barna                   4
872     barney                  1
873     barnstorm               1
874     barot                   1
875     barov                   1
876     barr                    2
877     barrack                35
878     barrag                  2
879     barrel                  2
880     barrera                 2
881     barri                   1
882     barricad               18
883     barrier                12
884     bartlett                1
885     barua                   5
886     base                  188
887     basebal                 5
888     baselin                16
889     basement                1
890     basher                  1
891     bashraheel              1
892     bashrahel               1
893     basi                   15
894     basic                  43
895     basilica                1
896     bask                    2
897     basket                  3
898     basketbal               1
899     basset                  1
900     bassiouni               1
901     bastion                 6
902     batch                   1
903     bath                    4
904     bathroom                3
905     bathtub                 1
906     batic                   2
907     baton                   4
908     battalion               3
909     batten                  1
910     batter                  8
911     batteri                 2
912     battl                  78
913     battlefield             4
914     battleground            8
915     bauman                  6
916     bautista                1
917     bavaria                 1
918     bay                     7
919     bazaar                  1
920     bbc                    29
921     beach                  17
922     beachfront              1
923     bead                    1
924     beal                    1
925     beam                   14
926     bean                    3
927     bear                   23
928     beard                  20
929     bearer                  2
930     beat                   79
931     beaten                 31
932     beater                  3
933     beaumont                1
934     beauti                  6
935     beaver                  1
936     becam                 104
937     becaus                354
938     becausec                1
939     beci                    2
940     becker                  1
941     becom                 115
942     bed                    35
943     bedanova                2
944     bedi                   12
945     bedouin                 1
946     bedroom                 6
947     bedsheet                1
948     beef                    6
949     beer                    2
950     befit                   1
951     befor                 391
952     befriend                1
953     befuddl                 1
954     beg                     4
955     began                 156
956     beggar                  1
957     begin                 151
958     begun                  31
959     behalf                  8
960     behan                   1
961     behari                  3
962     behav                   9
963     behavior               11
964     behind                155
965     beholden                3
966     beij                    3
967     beirut                  9
968     bekki                   3
969     belaru                  1
970     belch                   1
971     beleagu                 3
972     belgian                 5
973     belgium                 6
974     belgrad               100
975     beli                    1
976     belida                  3
977     belief                 17
978     believ                292
979     belittl                 1
980     bell                    4
981     belliger                1
982     belong                 31
983     belov                   5
984     belt                    8
985     bema                    2
986     bemoan                  1
987     ben                     5
988     bench                   4
989     benchmark               1
990     bend                    2
991     beneath                31
992     benefactor              2
993     benefici                1
994     beneficiari             1
995     benefit                17
996     benevol                 7
997     benign                  1
998     benin                   8
999     benito                  1
1000     benjamin                2
1001     bennett                 1
1002     benni                   1
1003     bent                   13
1004     benton                  1
1005     bequeath                1
1006     berat                   1
1007     bere                    1
1008     beresich                1
1009     beretta                 1
1010     bergen                  1
1011     berger                 25
1012     berlin                  8
1013     bernstein               2
1014     bershard                1
1015     bershevski              1
1016     berth                   2
1017     beschloss               1
1018     beset                   2
1019     besid                  27
1020     besieg                  4
1021     bespectacl              2
1022     best                  101
1023     bet                     5
1024     beta                    8
1025     beth                    1
1026     betray                  4
1027     betrisia                1
1028     better                119
1029     bevan                   1
1030     beveneari               1
1031     bewild                  1
1032     beyond                 37
1033     bhaba                   2
1034     bhachau                 4
1035     bhagat                  1
1036     bhakta                  1
1037     bharatiya               3
1038     bharpi                  3
1039     bhaskar                 5
1040     bhat                    1
1041     bhatt                   1
1042     bhavesh                 1
1043     bhowmik                 1
1044     bhug                    1
1045     bhuj                   33
1046     bia                     1
1047     biafran                 2
1048     biarritz                3
1049     bias                    8
1050     bibl                    4
1051     biblic                  1
1052     bicker                  3
1053     bicycl                  5
1054     bid                    50
1055     bidanora                1
1056     big                    76
1057     bigger                  8
1058     biggest                39
1059     bigot                   1
1060     bihari                 10
1061     bilater                 8
1062     bilingu                 1
1063     bill                   68
1064     billboard               2
1065     billet                  1
1066     billi                   4
1067     billion                59
1068     billionair              9
1069     billow                 13
1070     biltera                 1
1071     bimal                   2
1072     bin                    87
1073     bind                    5
1074     bindra                  3
1075     bingaman                2
1076     bingo                   1
1077     binocular               5
1078     bio                     1
1079     biogeneticist           1
1080     biograph                3
1081     biographi               4
1082     biolog                  4
1083     bion                    1
1084     bipartisan              2
1085     bipartisanship          1
1086     bird                    3
1087     birger                  1
1088     birth                   9
1089     birthday                6
1090     birthmark               1
1091     birthplac               1
1092     biscuit                 3
1093     bishop                  2
1094     bit                    46
1095     bite                    2
1096     biter                   1
1097     bitka                   1
1098     bitten                  1
1099     bitter                 20
1100     bitterli               10
1101     bittersweet             2
1102     biw                     1
1103     bizarr                 10
1104     bjorn                   1
1105     black                  58
1106     blacken                 4
1107     blackmail               5
1108     blackout                4
1109     blade                   1
1110     blair                  15
1111     blakemor                1
1112     blame                  56
1113     blanchard               1
1114     blanco                  7
1115     bland                   1
1116     blanda                  1
1117     blank                   3
1118     blanket                35
1119     blankli                 2
1120     blare                   1
1121     blast                 109
1122     blatant                 2
1123     blaze                   6
1124     bleach                  1
1125     bleacher                1
1126     bleak                   1
1127     bled                    1
1128     bleed                   2
1129     blemish                 1
1130     blend                   4
1131     bless                   9
1132     blew                   42
1133     blind                   8
1134     blindli                 5
1135     blink                   3
1136     blister                 2
1137     blitz                   1
1138     blitzer                 1
1139     blizzard                5
1140     bloat                   4
1141     bloc                    7
1142     block                  83
1143     blockad                15
1144     blocker                 1
1145     blocki                  1
1146     blokosso                1
1147     blond                   6
1148     blood                  34
1149     bloodbath               2
1150     bloodi                  8
1151     bloodiest               1
1152     bloodless               2
1153     bloodsh                 9
1154     bloodstain              1
1155     bloomberg               1
1156     bloomer                 1
1157     blous                   1
1158     blow                   25
1159     blown                  11
1160     blowtorch               1
1161     blue                   46
1162     blueprint              11
1163     bluf                    5
1164     blunk                   1
1165     blunt                   2
1166     bluntli                 2
1167     blur                    2
1168     blurb                   1
1169     blusteri                1
1170     blvd                    1
1171     bnaibrith               1
1172     bo                      5
1173     board                  63
1174     boarder                 5
1175     boardwalk               1
1176     boast                   3
1177     boat                  117
1178     boater                  1
1179     boatmen                 1
1180     bob                    24
1181     bobbi                   6
1182     bobic                   1
1183     bodi                  188
1184     bodien                  1
1185     bodin                   9
1186     bodon                   1
1187     bodyguard              10
1188     boe                     2
1189     bog                     2
1190     boga                    1
1191     bogg                    1
1192     bogu                    4
1193     bohdan                  2
1194     boigni                  6
1195     boil                    1
1196     boister                 1
1197     bojic                   1
1198     bold                    3
1199     boldli                  1
1200     bolivia                 1
1201     bolona                  2
1202     bolster                12
1203     bolt                    1
1204     bomb                  259
1205     bombard                 2
1206     bombay                  5
1207     bomber                 57
1208     bombet                  2
1209     bombey                  1
1210     bombmak                 4
1211     bombshel                1
1212     bond                   17
1213     bondjump                1
1214     bone                   53
1215     bonecardi               1
1216     bonfir                  3
1217     bonilla                 1
1218     bonni                   1
1219     bono                    1
1220     bonu                    1
1221     boo                     3
1222     boobi                   3
1223     book                   26
1224     bookend                 1
1225     boom                    7
1226     boost                  14
1227     booster                 1
1228     boot                    5
1229     booth                   8
1230     bor                     1
1231     border                 53
1232     bore                    3
1233     borg                    1
1234     bori                    7
1235     borisav                 1
1236     borislav                3
1237     borisov                 1
1238     borivoj                 1
1239     bork                    1
1240     borka                   1
1241     born                   47
1242     borneo                  4
1243     borotra                 1
1244     borrow                  2
1245     borzon                  1
1246     bosnia                 16
1247     bosnian                 5
1248     boss                   10
1249     boston                 18
1250     botch                   5
1251     bother                  9
1252     bottl                   5
1253     bottom                 28
1254     bouak                   1
1255     boucher                 8
1256     bouffard                1
1257     bought                 10
1258     boulevard               1
1259     bounc                   7
1260     bound                  15
1261     boundari                2
1262     bounti                  1
1263     bout                    5
1264     bow                    11
1265     bowel                   2
1266     bowen                   2
1267     bowl                    1
1268     bowman                  1
1269     bowmen                  1
1270     bowrey                  1
1271     box                    17
1272     boxer                   1
1273     boy                    35
1274     boycot                 26
1275     boycott                18
1276     boyd                    1
1277     boyfriend               4
1278     bozov                   3
1279     braca                   2
1280     brace                   4
1281     braci                   1
1282     bracket                 1
1283     brad                    6
1284     bradi                   1
1285     bradman                 1
1286     bradshaw                1
1287     brag                    4
1288     brain                   2
1289     brainwash               3
1290     brake                   1
1291     branch                  9
1292     brand                   6
1293     brandish                6
1294     brandon                 1
1295     brash                   2
1296     brass                   4
1297     brave                   6
1298     bravent                 1
1299     braveri                 2
1300     bravo                   4
1301     brazen                  1
1302     brazil                  2
1303     brazilian               1
1304     breach                  3
1305     bread                   1
1306     breadbasket             2
1307     break                 111
1308     breakaway               2
1309     breakdown               3
1310     breaker                 1
1311     breakfast               6
1312     breakout                9
1313     breakthrough           12
1314     breakup                 3
1315     breast                  4
1316     breath                  6
1317     breaux                  1
